# STATION: KTUS
# STATION NAME: Tucson, Tucson International Airport
# LATITUDE: 32.13153
# LONGITUDE: -110.95635
# ELEVATION [ft]: 2546
# STATE: AZ
Station_ID,Date_Time,air_temp_set_1_F,dew_point_temperature_set_1_F,precip_accum_one_hour_set_1_Inches,dew_point_temperature_set_1d_F
KTUS,07/01/2021 00:00 UTC,93.2,,,53.86
KTUS,07/01/2021 00:05 UTC,93.2,,,55.65
KTUS,07/01/2021 00:10 UTC,93.2,,,55.65
KTUS,07/01/2021 00:15 UTC,89.6,,,60.94
KTUS,07/01/2021 00:20 UTC,87.8,,,60.91
KTUS,07/01/2021 00:25 UTC,87.8,,,59.12
KTUS,07/01/2021 00:27 UTC,87.98,59.0,,59.28
KTUS,07/01/2021 00:30 UTC,87.8,,,59.12
KTUS,07/01/2021 00:35 UTC,87.8,,,59.12
KTUS,07/01/2021 00:40 UTC,87.8,,,59.12
KTUS,07/01/2021 00:45 UTC,87.8,,,59.12
KTUS,07/01/2021 00:50 UTC,87.8,,,59.12
KTUS,07/01/2021 00:53 UTC,87.08,59.0,,59.11
KTUS,07/01/2021 00:55 UTC,87.8,,,59.12
KTUS,07/01/2021 01:00 UTC,87.8,,,59.12
KTUS,07/01/2021 01:05 UTC,86.0,,,59.09
KTUS,07/01/2021 01:10 UTC,86.0,,,59.09
KTUS,07/01/2021 01:15 UTC,86.0,,,59.09
KTUS,07/01/2021 01:20 UTC,86.0,,,59.09
KTUS,07/01/2021 01:25 UTC,86.0,,,59.09
KTUS,07/01/2021 01:30 UTC,87.8,,,59.12
KTUS,07/01/2021 01:35 UTC,87.8,,,57.33
KTUS,07/01/2021 01:40 UTC,87.8,,,55.53
KTUS,07/01/2021 01:45 UTC,87.8,,,57.33
KTUS,07/01/2021 01:50 UTC,87.8,,,57.33
KTUS,07/01/2021 01:53 UTC,86.0,59.0,,59.09
KTUS,07/01/2021 01:55 UTC,86.0,,,59.09
KTUS,07/01/2021 02:00 UTC,86.0,,,59.09
KTUS,07/01/2021 02:05 UTC,84.2,,,59.07
KTUS,07/01/2021 02:10 UTC,84.2,,,60.86
KTUS,07/01/2021 02:15 UTC,84.2,,,60.86
KTUS,07/01/2021 02:20 UTC,84.2,,,60.86
KTUS,07/01/2021 02:25 UTC,84.2,,,60.86
KTUS,07/01/2021 02:30 UTC,82.4,,,60.84
KTUS,07/01/2021 02:35 UTC,82.4,,,60.84
KTUS,07/01/2021 02:37 UTC,82.04,60.08,,60.51
